WKT,Mark Name,Description,Light,Lat,Long
"POINT (144.735 -38.105)",Prince George,Pile (port Lateral),R Fl R 4s 8M,-38.105,144.735
"POINT (144.919 -37.856)",X-Ray,Orange Buoy,No lights,-37.856,144.919
"POINT (144.665 -38.08166667)",Point Richards Entrance,North Cardinal,BY Q 9M,-38.08166667,144.665
"POINT (144.5333333 -38.13166667)",Point Richards No.18,Pile (N Cardinal),BY Q,-38.13166667,144.5333333
"POINT (145.053 -38.0266)",MMYC1,Special Mark,Fl Y 5s,-38.0266,145.053
"POINT (144.9716667 -38.27333333)",R1,Yellow Pyramid,Y Fl (3) Y 10s,-38.27333333,144.9716667
"POINT (144.9183333 -38.33333333)",SB 2,Yellow Buoy,Y Fl (2) Y 15s,-38.33333333,144.9183333
"POINT (144.9433333 -38.29833333)",SB 1,Yellow Buoy,Y Fl (2) Y 15s,-38.29833333,144.9433333
"POINT (144.9883333 -38.305)",SBSC Start,Pile (S'bd Lateral),G BN Fl(4) 10s,-38.305,144.9883333
"POINT (144.79 -38.03833333)",V 2,Yellow Pillar-X,Y Fl  Y 4s,-38.03833333,144.79
"POINT (144.795 -38.055)",V 3,Yellow Pillar-X,Y Fl  Y 4s,-38.055,144.795
"POINT (144.825 -38.04333333)",V 4,Yellow Pillar-X,Y Fl  Y 4s,-38.04333333,144.825
"POINT (144.9383333 -37.87333333)",SB 3,Yellow Pyramid-X,,-37.87333333,144.9383333
"POINT (144.8833333 -37.98333333)",Spoil Ground,Yellow Can-X,Fl Y 5s,-37.98333333,144.8833333
"POINT (144.965 -37.94166667)",SYC 2,Yellow Pyramid,Y Fl(4) Y 10s,-37.94166667,144.965
"POINT (144.9833333 -37.93)",SYC 7,Yellow Pyramid,Y Fl(4) Y 10s,-37.93,144.9833333
"POINT (144.955 -37.92166667)",RBYC 2,Yellow Pyramid-X,Y Fl(4) Y 12s,-37.92166667,144.955
"POINT (144.9733333 -37.89666667)",RBYC 5,Yellow Pyramid-X,Y Fl(4) Y 12s,-37.89666667,144.9733333
"POINT (144.9533333 -37.885)",RMYS B,Yellow Pillar,,-37.885,144.9533333
"POINT (144.9633333 -37.86833333)",RMYS E,Yellow Pillar,Y Fl(4) Y 10s,-37.86833333,144.9633333
"POINT (144.935 -37.84833333)",RMYS G,Yellow Pillar,Y Fl(4) Y 10s,-37.84833333,144.935
"POINT (144.939808 -37.885807)",R3,Yellow Pillar,Y Fl(4) Y 10s,-37.885807,144.939808
"POINT (144.8866667 -37.92166667)",P 2,Yellow Pyramid,,-37.92166667,144.8866667
"POINT (144.88 -37.88833333)",P 3,Black Pillar,,-37.88833333,144.88
"POINT (144.87 -38.05833333)",Centre Mark,Yellow Pyramid-X,Y Fl Y 2.5s,-38.05833333,144.87
"POINT (144.9383333 -37.90833333)",R 2,Yellow Pillar,Y Fl(3) Y 10s,-37.90833333,144.9383333
"POINT (144.9216667 -37.845)",R 4,Yellow Pillar,Y Fl(3) Y 10s,-37.845,144.9216667
"POINT (144.8583333 -37.94833333)",Outer Achorage,Yellow Pillar-X,Y BN Fl(4) Y 12s 3M,-37.94833333,144.8583333
"POINT (145.0316667 -38.21)",Mornington VM,Virtual Mark,,-38.21,145.0316667
"POINT (144.7233333 -38.17)",St. Leonards Finish,Laid Mark,,-38.17,144.7233333
"POINT (144.98 -37.96166667)",SYC 1,Yellow Pyramid,Y Fl(4) Y 10s,-37.96166667,144.98
"LINESTRING (144.9216757 -37.8445667, 144.9176417 -37.8646942)",R4 - Finish,,,,
"LINESTRING (144.7233333 -38.17, 144.9383333 -37.8733333)",SB3 - St Leonards,,,,
"LINESTRING (144.9216667 -37.845, 144.939808 -37.885807)",R3 - R4,,,,
 
